#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"110,332,218",,"1,191,086                                ",,"108,055,501",,"1,085,631","2,217","329,541","3,558","1,186,622,338","3,544,216","334,805,269 ",North America,,32810,,,"3,243",
2,India,"45,019,214",+475,"533,402                                ",+6,N/A,N/A,N/A,N/A,"32,005",379,"935,879,495","665,334","1,406,631,776 ",Asia,,"312,6372",0.3,,3,
3,France,"40,138,560",,"167,642                                ",,"39,970,918",,0,,"612,013","2,556","271,490,188","4,139,547","65,584,518 ",Europe,,23910,,,,
4,Germany,"38,780,921",,"180,578                                ",,"38,240,600",,"359,743",N/A,"462,318","2,153","122,332,384","1,458,359","83,883,596 ",Europe,,24651,,,"4,289",
5,Brazil,"38,210,864",,"708,638                                ",,"36,249,161",,"1,253,065",N/A,"177,433","3,291","63,776,166","296,146","215,353,593 ",South America,,63043,,,"5,819",
6,S. Korea,"34,571,873",,"35,934                                ",,"34,535,939",,0,,"673,523",700,"15,804,065","307,892","51,329,899 ",Asia,,"11,4283",,,,
7,Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,N/A,"269,169",595,"100,414,883","799,578","125,584,838 ",Asia,,"41,6811",,,"95,582",
8,Italy,"26,671,165",,"195,139                                ",,"26,257,742",,"218,284",281,"442,581","3,238","279,240,685","4,633,718","60,262,770 ",Europe,,23090,,,"3,622",
9,UK,"24,812,582",,"232,112                                ",,"24,580,470",,0,N/A,"362,239","3,389","522,526,476","7,628,357","68,497,907 ",Europe,,32950,,,,
10,Russia,"23,772,535",,"401,420                                ",,"23,157,710",,"213,405",N/A,"163,042","2,753","273,400,000","1,875,095","145,805,947 ",Europe,,63631,,,"1,464",
11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,N/A,"201,399","1,194","162,743,369","1,902,052","85,561,976 ",Asia,,58371,,,"4,024",
12,Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"297,840","2,606","471,036,328","10,082,298","46,719,142 ",Europe,,33840,,,656,
13,Australia,"11,760,483","+2,203","23,871                                ",,N/A,N/A,N/A,27,"451,133",916,"81,916,639","3,142,326","26,068,792 ",Australia/Oceania,,"21,0920",85,,"2,495",
14,Vietnam,"11,624,114",,"43,206                                ",,"10,640,971",,"939,937",,"117,470",437,"85,826,548","867,342","98,953,541 ",Asia,,"92,2901",,,"9,499",
15,Taiwan,"10,241,523",,"19,005                                ",,"10,222,518",,0,,"428,720",796,"30,742,304","1,286,903","23,888,595 ",Asia,,"21,2571",,,,
16,Argentina,"10,080,046",,"130,685                                ",,"9,949,361",,0,,"219,083","2,840","35,716,069","776,264","46,010,234 ",South America,,53521,,,,
17,Netherlands,"8,623,210",,"22,992                                ",,"8,597,059",,"3,159",N/A,"501,016","1,336","25,984,435","1,509,718","17,211,447 ",Europe,,27491,,,184,
18,Mexico,"7,702,731",,"334,947                                ",,"6,899,865",,"467,919",N/A,"58,548","2,546","20,013,810","152,124","131,562,772 ",North America,,173937,,,"3,557",
19,Iran,"7,625,463",,"146,757                                ",,N/A,N/A,N/A,,"88,645","1,706","57,320,267","666,338","86,022,837 ",Asia,,115862,,,"1,180",
20,Indonesia,"6,821,940",,"161,954                                ",,"6,647,104",,"12,882",N/A,"24,440",580,"114,158,919","408,975","279,134,505 ",Asia,,"411,7242",,,46,
21,Poland,"6,642,045","+1,434","120,323                                ",+7,N/A,N/A,N/A,N/A,"175,996","3,188","39,122,754","1,036,645","37,739,785 ",Europe,,63141,38,0.2,"31,420",
22,Colombia,"6,387,632",,"143,113                                ",,"6,206,196",,"38,323",342,"124,001","2,778","36,951,507","717,327","51,512,762 ",South America,,83601,,,744,
23,Greece,"6,101,379",,"37,869                                ",,N/A,N/A,N/A,,"591,412","3,671","102,228,365","9,909,078","10,316,637 ",Europe,,22720,,,,
24,Austria,"6,081,287",,"22,542                                ",,"6,054,934",,"3,811",,"670,727","2,486","211,273,524","23,302,116","9,066,710 ",Europe,,14020,,,420,
25,Portugal,"5,637,114",,"27,853                                ",,"5,608,188",,"1,073",61,"555,897","2,747","46,139,518","4,549,993","10,140,570 ",Europe,,23640,,,106,
26,Ukraine,"5,557,995",,"112,418                                ",,"5,445,577",,0,,"128,681","2,603","32,603,805","754,855","43,192,122 ",Europe,,83841,,,,
27,Chile,"5,333,334",,"64,497                                ",,"5,252,450",,"16,387",7,"277,054","3,350","50,382,097","2,617,225","19,250,195 ",South America,,42980,,,851,
28,Malaysia,"5,227,322",,"37,293                                ",,"5,162,135",,"27,894",34,"157,539","1,124","68,580,916","2,066,869","33,181,072 ",Asia,,68900,,,841,
29,Canada,"4,869,279",,"56,990                                ",,"4,784,929","+1,709","27,360",99,"126,842","1,485","66,525,130","1,732,948","38,388,419 ",North America,,86741,,,713,
30,Belgium,"4,849,006",,"34,376                                ",,"4,800,838",,"13,792",N/A,"415,572","2,946","37,018,657","3,172,590","11,668,278 ",Europe,,23390,,,"1,182",
31,Israel,"4,841,772",,"12,707                                ",,"4,798,473",,"30,592",N/A,"519,169","1,363","41,373,364","4,436,346","9,326,000 ",Asia,,27340,,,"3,280",
32,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,,"5351,225",,,,
33,Thailand,"4,763,039",,"34,521                                ",,"4,692,636",,"35,882",N/A,"67,967",493,"17,270,775","246,450","70,078,203 ",Asia,,"152,0304",,,512,
34,Czechia,"4,750,998",,"43,396                                ",,"4,698,525",,"9,077",36,"442,497","4,042","57,635,067","5,368,001","10,736,784 ",Europe,,22470,,,845,
35,Peru,"4,524,326",,"222,161                                ",,"4,302,165",,0,4,"134,316","6,595","39,010,194","1,158,115","33,684,208 ",South America,,71521,,,,
36,Switzerland,"4,441,768",,"14,452                                ",,"4,420,011","+1,926","7,305",N/A,"506,263","1,647","23,833,472","2,716,487","8,773,637 ",Europe,,26070,,,833,
37,Philippines,"4,138,564",,"66,856                                ",,"4,065,886",,"5,822",N/A,"36,784",594,"36,094,966","320,818","112,508,994 ",Asia,,"271,6833",,,52,
38,South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135 ",Africa,,155922,,,"1,010",
39,Romania,"3,514,894","+2,525","68,754                                ",+26,"3,441,526",,"4,614",45,"184,690","3,613","28,473,204","1,496,122","19,031,335 ",Europe,,52771,133,1,242,
40,Denmark,"3,183,756",,"8,814                                ",,"3,174,942",,0,,"545,636","1,511","129,333,107","22,165,247","5,834,950 ",Europe,,26620,,,,
41,Hong Kong,"2,925,231",,"14,378                                ",,"2,909,970",,883,N/A,"384,681","1,891","76,127,725","10,011,143","7,604,299 ",Asia,,35290,,,116,
42,Singapore,"2,827,115",,"1,933                                ",,"2,825,182",,0,13,"475,661",325,"24,756,666","4,165,302","5,943,546 ",Asia,,"23,0750",,,,
43,Sweden,"2,745,098",,"26,433                                ",,"2,715,510",+311,"3,155",N/A,"268,628","2,587","19,500,873","1,908,301","10,218,971 ",Europe,,43871,,,309,
44,Serbia,"2,609,964",,"18,057                                ",,"2,586,780","+3,704","5,127",,"301,625","2,087","13,359,166","1,543,874","8,653,016 ",Europe,,34791,,,593,
45,New Zealand,"2,547,458",,"5,293                                ",,"2,537,556",,"4,609",,"520,080","1,081","7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,29251,,,941,
46,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16,
47,Hungary,"2,223,831",,"48,917                                ",,"2,152,155",,"22,759",,"231,498","5,092","11,394,556","1,186,160","9,606,259 ",Europe,,41961,,,"2,369",
48,Bangladesh,"2,046,256",,"29,477                                ",,N/A,N/A,N/A,N/A,"12,188",176,"15,254,399","90,862","167,885,689 ",Asia,,"825,69511",,,109,
49,Slovakia,"1,873,332",,"21,186                                ",,"1,852,146",+930,0,23,"343,089","3,880","7,448,789","1,364,199","5,460,193 ",Europe,,32581,,,,
50,Georgia,"1,855,289",,"17,132                                ",,N/A,N/A,N/A,,"467,476","4,317","16,920,079","4,263,340","3,968,738 ",Asia,,22320,,,"15,524",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,728,993",,"9,466                                ",,"1,717,283",,"2,244",19,"344,407","1,886","13,083,449","2,606,161","5,020,199 ",Europe,,35300,,,447,
53,Pakistan,"1,581,936",,"30,664                                ",,"1,538,689",,"12,583",,"6,893",134,"30,589,153","133,292","229,488,994 ",Asia,,"1457,4848",,,55,
